"date","trap","catchID","StartDate","EndDate","Trapline","TrapNum","Trap_Brand","Trap_size","Trap_numDoors","Easting","Northing","Year","Month","Day","predCaught","birdCaught","otherCaught","NumCaught","Sex","Age","Condition","Disposition","TrapStatus","BaitStatus","BaitPrev","BaitSet","Observer","Recorder","Comments","dateStr","duplicate","BaitPrevOld","Dummy","X","RatInvalid","NotRebaited","BaitPresent","prevCheckInterval","TrapChecked"
2002-04-19,"E69","20020419_E69","1988-01-01","2007-07-20","E","69","","",0,788085.8986,2295477.918,2002,4,19,"","","",0,"","",NA,NA,"O","NI","CD","","SS","SS","Ants",20020419,0,"CD","2002-04-19",NA,FALSE,FALSE,TRUE,3,TRUE
2002-04-04,"F43","20020404_F43","1988-01-01","2008-08-22","F","43","","",0,786047.6049,2296977.021,2002,4,4,"","","",0,"","",NA,NA,"O","YI","IK","","SS, CN","SS","ANTS",20020404,0,"IK","2002-04-04",NA,FALSE,FALSE,TRUE,6,TRUE
2002-04-04,"F45","20020404_F45","1988-01-01","2008-08-22","F","45","","",0,786081.4353,2297076.96,2002,4,4,"","","",0,"","",NA,NA,"O","YI","IK","","SS, CN","SS","ANTS",20020404,0,"IK","2002-04-04",NA,FALSE,FALSE,TRUE,6,TRUE
2002-04-04,"F46","20020404_F46","1988-01-01","2008-08-22","F","46","","",0,786104.3921,2297142.615,2002,4,4,"","","",0,"","",NA,NA,"O","YI","IK","","SS, CN","SS","ANTS",20020404,0,"IK","2002-04-04",NA,FALSE,FALSE,TRUE,6,TRUE
2002-04-04,"F47","20020404_F47","1988-01-01","2008-08-22","F","47","","",0,786127.0065,2297211.374,2002,4,4,"","","",0,"","",NA,NA,"O","NI","IK","","SS, CN","SS","ants",20020404,0,"IK","2002-04-04",NA,FALSE,FALSE,TRUE,6,TRUE
2002-04-04,"F48","20020404_F48","1988-01-01","2008-08-22","F","48","","",0,786158.8174,2297249.629,2002,4,4,"","","",0,"","",NA,NA,"O","NI","IK","","SS, CN","SS","ants",20020404,0,"IK","2002-04-04",NA,FALSE,FALSE,TRUE,6,TRUE
2002-04-04,"F49","20020404_F49","1988-01-01","2008-08-22","F","49","","",NA,NA,NA,2002,4,4,"","","",0,"","",NA,NA,"O","NI","IK","","SS, CN","SS","ants",20020404,0,"IK","2002-04-04",NA,FALSE,FALSE,TRUE,6,TRUE
2002-04-04,"F50","20020404_F50","1988-01-01","2008-08-22","F","50","","",0,786163.9277,2297333.043,2002,4,4,"","","",0,"","",NA,NA,"O","NI","IK","","SS, CN","SS","ants",20020404,0,"IK","2002-04-04",NA,FALSE,FALSE,TRUE,6,TRUE
2002-04-04,"F51","20020404_F51","1988-01-01","2008-08-22","F","51","","",0,786186.561,2297398.698,2002,4,4,"","","",0,"","",NA,NA,"O","NI","IK","","SS, CN","SS","ants",20020404,0,"IK","2002-04-04",NA,FALSE,FALSE,TRUE,6,TRUE
2002-04-04,"F52","20020404_F52","1988-01-01","2008-08-22","F","52","","",0,786207.1579,2297460.746,2002,4,4,"","","",0,"","",NA,NA,"O","NI","IK","","SS, CN","SS","ants",20020404,0,"IK","2002-04-04",NA,FALSE,FALSE,TRUE,6,TRUE
2002-04-04,"F58","20020404_F58","1988-01-01","2008-08-22","F","58","","",0,786387.983,2297951.95,2002,4,4,"","","",0,"","",NA,NA,"O","YI","IK","","SS, CN","SS","ANTS",20020404,0,"IK","2002-04-04",NA,FALSE,FALSE,TRUE,6,TRUE
2002-04-04,"F60","20020404_F60","1988-01-01","2008-08-22","F","60","","",0,786417.521,2298089.551,2002,4,4,"","","",0,"","",NA,NA,"O","YI","IK","","SS, CN","SS","ANTS",20020404,0,"IK","2002-04-04",NA,FALSE,FALSE,TRUE,6,TRUE
2002-04-04,"F61","20020404_F61","1988-01-01","2008-08-22","F","61","","",0,786461.129,2298171.361,2002,4,4,"","","",0,"","",NA,NA,"O","YI","IK","","SS, CN","SS","ANTS",20020404,0,"IK","2002-04-04",NA,FALSE,FALSE,TRUE,6,TRUE
2002-04-04,"F62","20020404_F62","1988-01-01","2008-08-22","F","62","","",0,786484.2607,2298265.466,2002,4,4,"","","",0,"","",NA,NA,"O","YI","IK","","SS, CN","SS","ANTS",20020404,0,"IK","2002-04-04",NA,FALSE,FALSE,TRUE,6,TRUE
2002-04-04,"F63","20020404_F63","1988-01-01","2008-08-22","F","63","","",0,786519.1407,2298370.604,2002,4,4,"","","",0,"","",NA,NA,"O","YI","IK","","SS, CN","SS","ANTS",20020404,0,"IK","2002-04-04",NA,FALSE,FALSE,TRUE,6,TRUE
2002-04-04,"F64","20020404_F64","1988-01-01","2008-08-22","F","64","","",0,786533.6563,2298440.929,2002,4,4,"","","",0,"","",NA,NA,"O","YI","IK","","SS, CN","SS","ANTS",20020404,0,"IK","2002-04-04",NA,FALSE,FALSE,TRUE,6,TRUE
2002-04-04,"F65","20020404_F65","1988-01-01","2008-08-22","F","65","","",0,786562.5385,2298532.086,2002,4,4,"","","",0,"","",NA,NA,"O","YI","IK","","SS, CN","SS","ANTS",20020404,0,"IK","2002-04-04",NA,FALSE,FALSE,TRUE,6,TRUE
2001-04-27,"H1","20010427_H1","1988-01-01","2010-05-27","H","1","","",NA,NA,NA,2001,4,27,"","","",0,"","",NA,NA,"","S","DO","","HF","RT","Set trap in response to escaped pet cat at Hosmer",20010427,0,"","2001-04-27",NA,FALSE,FALSE,TRUE,5,TRUE
2001-04-27,"H2","20010427_H2","1988-01-01","2010-05-27","H","2","","",NA,NA,NA,2001,4,27,"","","",0,"","",NA,NA,"","S","DO","","HF","RT","Set trap in response to escaped pet cat at Hosmer",20010427,0,"","2001-04-27",NA,FALSE,FALSE,TRUE,5,TRUE
2001-04-27,"H3","20010427_H3","1988-01-01","2010-05-27","H","3","","",NA,NA,NA,2001,4,27,"","","",0,"","",NA,NA,"","S","DO","","HF","RT","Set trap in response to escaped pet cat at Hosmer",20010427,0,"","2001-04-27",NA,FALSE,FALSE,TRUE,5,TRUE
2001-04-27,"H4","20010427_H4","1988-01-01","2010-05-27","H","4","","",NA,NA,NA,2001,4,27,"","","",0,"","",NA,NA,"","S","DO","","HF","RT","Set trap in response to escaped pet cat at Hosmer",20010427,0,"","2001-04-27",NA,FALSE,FALSE,TRUE,5,TRUE
2001-04-27,"H5","20010427_H5","1988-01-01","2010-05-27","H","5","","",NA,NA,NA,2001,4,27,"","","",0,"","",NA,NA,"","S","DO","","HF","RT","Set trap in response to escaped pet cat at Hosmer",20010427,0,"","2001-04-27",NA,FALSE,FALSE,TRUE,5,TRUE
2001-04-27,"H6","20010427_H6","1988-01-01","2010-05-27","H","6","","",NA,NA,NA,2001,4,27,"","","",0,"","",NA,NA,"","S","DO","","HF","RT","Set trap in response to escaped pet cat at Hosmer",20010427,0,"","2001-04-27",NA,FALSE,FALSE,TRUE,5,TRUE
