OBJECTID,TrapID,TrapLoc,Filename,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,Trapline,TrapNum,Trap_Brand,Trap_size,Trap_numDoors,Easting,Northing,GPS_Date,Comments
19,A_3_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,3,little  giant,medium,1,787916.3226,2297975.432,2/26/2010 0:00, 
42,A_30_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,30,,,0,788640.438,2297176.542,11/6/1997 0:00,A030
,A_30_2,2,,2008,8,25,NA,NA,NA,A,30,,,,,,,
36,A_4_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,4,,,0,788343.3484,2298011.204,11/6/1997 0:00,A004
20,A_4_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,4,tomahawk,medium,1,787936.2789,2298001.722,2/26/2010 0:00, 
39,A_5_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,5,,,0,787917.1744,2297974.02,11/6/1997 0:00,A05
3,A_5_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,5,tomahawk,medium,1,786937.2759,2296924.327,2/26/2010 0:00, 
40,A_6_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,6,,,0,787940.2627,2297999.567,11/6/1997 0:00,A06
4,A_6_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,6,tomahawk,large,1,787736.4015,2296685.639,2/26/2010 0:00, 
,A_7_1,1,,NA,NA,NA,2008,8,25,A,7,,,,,,,
5,A_7_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,7,tomahawk,medium,1,787252.6457,2296112.181,2/26/2010 0:00, 
37,A_8_1,1,A_Traps_to_8_25_2008,NA,NA,NA,2008,8,25,A,8,,,0,787122.5453,2298064.464,11/6/1997 0:00,A008
6,A_8_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,8,havahart,medium,2,785693.7937,2292122.914,2/26/2010 0:00, 
,A_9_1,1,,NA,NA,NA,2008,8,25,A,9,,,,,,,
7,A_9_2,2,A_Traps_8_25_2008_to_Pres,2008,8,25,NA,NA,NA,A,9,havahart,medium,2,785809.7706,2292170.845,2/26/2010 0:00, 
,B_1_1,1,,NA,NA,NA,2003,9,15,B,1,,,,,,,
168,B_1_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,1,,,0,788091.801,2295632.413,1/14/1997 0:00,B 01
,B_1_3,3,,2010,5,27,NA,NA,NA,B,1,,,,,,,
,B_10_1,1,,NA,NA,NA,2003,9,15,B,10,,,,,,,
174,B_10_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,10,,,0,788568.2359,2296377.432,1/14/1997 0:00,B 10
51,B_10_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,10, , ,2,788552.0531,2296312.874,6/21/2010 0:00, 
,B_11_1,1,,NA,NA,NA,2003,9,15,B,11,,,,,,,
175,B_11_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,11,,,0,788561.7957,2296476.787,1/14/1997 0:00,B 11
52,B_11_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,11, , ,2,788556.9891,2296416.22,6/21/2010 0:00, 
,B_12_1,1,,NA,NA,NA,2003,9,15,B,12,,,,,,,
179,B_12_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,12,,,0,788589.0895,2296553.183,1/14/1997 0:00,B 12
53,B_12_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,12, , ,2,788564.3496,2296480.399,6/21/2010 0:00, 
,B_13_1,1,,NA,NA,NA,2003,9,15,B,13,,,,,,,
180,B_13_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,13,,,0,788626.2317,2296604.636,1/14/1997 0:00,B 13
54,B_13_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,13, , ,2,788599.3675,2296566.069,6/21/2010 0:00, 
,B_14_1,1,,NA,NA,NA,2003,9,15,B,14,,,,,,,
158,B_14_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,14,,,0,788658.5079,2296728.069,1/14/1997 0:00,B 14
55,B_14_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,14, , ,2,788626.3317,2296649.663,6/21/2010 0:00, 
,B_15_1,1,,NA,NA,NA,2003,9,15,B,15,,,,,,,
159,B_15_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,15,,,0,788720.0885,2296812.932,1/14/1997 0:00,B 15
56,B_15_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,15, , ,2,788690.1646,2296775.228,6/21/2010 0:00, 
,B_16_1,1,,NA,NA,NA,2003,9,15,B,16,,,,,,,
160,B_16_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,16,,,0,788794.1555,2296850.729,1/14/1997 0:00,B 16
57,B_16_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,16, , ,2,788764.4513,2296833.45,6/21/2010 0:00, 
,B_17_1,1,,NA,NA,NA,2003,9,15,B,17,,,,,,,
161,B_17_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,17,,,0,788837.2969,2296871.717,1/14/1997 0:00,B 17
58,B_17_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,17, , ,2,788804.0115,2296853.885,6/21/2010 0:00, 
,B_18_1,1,,NA,NA,NA,2003,9,15,B,18,,,,,,,
162,B_18_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,18,,,0,788891.39,2296914.98,1/14/1997 0:00,B 18
59,B_18_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,18, , ,2,788842.8972,2296873.055,6/21/2010 0:00, 
,B_19_1,1,,NA,NA,NA,2003,9,15,B,19,,,,,,,
163,B_19_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,19,,,0,788922.0759,2296931.743,1/14/1997 0:00,B 19
60,B_19_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,19, , ,2,788897.9362,2296916.071,6/21/2010 0:00, 
,B_2_1,1,,NA,NA,NA,2003,9,15,B,2,,,,,,,
169,B_2_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,2,,,0,788135.1761,2295685.563,1/14/1997 0:00,B 02
43,B_2_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,2, , ,2,788140.4445,2295692.864,6/21/2010 0:00, 
,B_20_1,1,,NA,NA,NA,2003,9,15,B,20,,,,,,,
164,B_20_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,20,,,0,789040.3422,2297072.683,1/14/1997 0:00,B 20
61,B_20_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,20, , ,2,788992.8586,2297009.897,6/21/2010 0:00, 
,B_21_1,1,,NA,NA,NA,2003,9,15,B,21,,,,,,,
165,B_21_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,21,,,0,789059.7574,2297142.044,1/14/1997 0:00,B 21
62,B_21_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,21, , ,2,789057.1924,2297102.178,6/21/2010 0:00, 
,B_22_1,1,,NA,NA,NA,2003,9,15,B,22,,,,,,,
166,B_22_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,22,,,0,789084.8052,2297197.002,1/14/1997 0:00,B 22
63,B_22_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,22, , ,2,789065.6462,2297165.918,6/21/2010 0:00, 
,B_23_1,1,,NA,NA,NA,2010,5,27,B,23,,,,,,,
64,B_23_2,2,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,23, , ,2,789111.1157,2297228.14,6/21/2010 0:00, 
,B_24_1,1,,NA,NA,NA,2010,5,27,B,24,,,,,,,
65,B_24_2,2,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,24, , ,2,789222.988,2297380.864,6/21/2010 0:00, 
,B_25_1,1,,NA,NA,NA,2003,9,15,B,25,,,,,,,
167,B_25_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,25,,,0,789289.3648,2297430.176,1/14/1997 0:00,B 25
66,B_25_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,25, , ,2,789222.8176,2297381.17,6/21/2010 0:00, 
,B_26_1,1,,NA,NA,NA,2003,9,15,B,26,,,,,,,
127,B_26_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,26,,,0,789355.0532,2297582.857,1/14/1997 0:00,B 26
67,B_26_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,26, , ,2,789307.5076,2297479.721,6/21/2010 0:00, 
,B_27_1,1,,NA,NA,NA,2010,5,27,B,27,,,,,,,
68,B_27_2,2,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,27, , ,2,789349.3246,2297566.867,6/21/2010 0:00, 
,B_28_1,1,,NA,NA,NA,2003,9,15,B,28,,,,,,,
128,B_28_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,28,,,0,789294.3409,2297668.078,1/14/1997 0:00,B 28
69,B_28_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,28, , ,2,789385.9147,2297604.424,6/21/2010 0:00, 
,B_29_1,1,,NA,NA,NA,2003,9,15,B,29,,,,,,,
129,B_29_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,29,,,0,789250.7118,2297768.259,1/14/1997 0:00,B 29
70,B_29_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,29, , ,2,789251.4841,2297764.627,6/21/2010 0:00, 
,B_3_1,1,,NA,NA,NA,2003,9,15,B,3,,,,,,,
170,B_3_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,3,,,0,788225.1135,2295770.856,1/14/1997 0:00,B 03
44,B_3_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,3, , ,2,788162.0133,2295712.061,6/21/2010 0:00, 
,B_30_1,1,,NA,NA,NA,2003,9,15,B,30,,,,,,,
130,B_30_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,30,,,0,789236.9066,2297823.506,1/14/1997 0:00,B 30
71,B_30_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,30, , ,2,789208.967,2297767.681,6/21/2010 0:00, 
,B_31_1,1,,NA,NA,NA,2003,9,15,B,31,,,,,,,
131,B_31_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,31,,,0,789217.0507,2297873.155,1/14/1997 0:00,B 31
72,B_31_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,31, , ,2,789123.5327,2297775.677,6/21/2010 0:00, 
,B_32_1,1,,NA,NA,NA,2003,9,15,B,32,,,,,,,
132,B_32_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,32,,,0,789182.7945,2297932.975,1/14/1997 0:00,B 32
73,B_32_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,32, , ,2,789061.885,2297826.038,6/21/2010 0:00, 
,B_33_1,1,,NA,NA,NA,2003,9,15,B,33,,,,,,,
133,B_33_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,33,,,0,789158.4909,2297985.132,1/14/1997 0:00,B 33
74,B_33_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,33, , ,2,788938.7053,2297830.42,6/21/2010 0:00, 
,B_34_1,1,,NA,NA,NA,2003,9,15,B,34,,,,,,,
134,B_34_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,34,,,0,789144.0588,2298026.035,1/14/1997 0:00,B 34
75,B_34_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,34, , ,2,788845.6119,2297824.342,6/21/2010 0:00, 
,B_35_1,1,,NA,NA,NA,2003,9,15,B,35,,,,,,,
135,B_35_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,35,,,0,789132.4907,2298075.421,1/14/1997 0:00,B 35
76,B_35_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,35, , ,2,788733.9131,2297797.419,6/21/2010 0:00, 
,B_36_1,1,,NA,NA,NA,2003,9,15,B,36,,,,,,,
136,B_36_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,36,,,0,789080.0285,2298103.394,1/14/1997 0:00,B 36
77,B_36_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,36, , ,2,788622.6764,2297818.824,6/21/2010 0:00, 
,B_37_1,1,,NA,NA,NA,2003,9,15,B,37,,,,,,,
137,B_37_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,37,,,0,789027.4907,2298131.696,1/14/1997 0:00,B 37
78,B_37_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,37, , ,2,788576.2143,2297829.578,6/21/2010 0:00, 
,B_38_1,1,,NA,NA,NA,2003,9,15,B,38,,,,,,,
138,B_38_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,38,,,0,788983.3119,2298160.912,1/14/1997 0:00,B 38
79,B_38_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,38, , ,2,788391.4613,2297835.687,6/21/2010 0:00, 
,B_39_1,1,,NA,NA,NA,2003,9,15,B,39,,,,,,,
139,B_39_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,39,,,0,788941.7647,2298185.801,1/14/1997 0:00,B 39
80,B_39_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,39, , ,2,788343.0093,2297942.685,6/21/2010 0:00, 
,B_4_1,1,,NA,NA,NA,2003,9,15,B,4,,,,,,,
176,B_4_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,4,,,0,788266.8732,2295875.663,1/14/1997 0:00,B 04
45,B_4_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,4, , ,2,788225.9084,2295792.643,6/21/2010 0:00, 
,B_40_1,1,,NA,NA,NA,2003,9,15,B,40,,,,,,,
140,B_40_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,40,,,0,788884.2455,2298218.759,1/14/1997 0:00,B 40
81,B_40_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,40, , ,2,788348.4794,2297939.185,6/21/2010 0:00, 
,B_41_1,1,,NA,NA,NA,2003,9,15,B,41,,,,,,,
141,B_41_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,41,,,0,788834.9605,2298249.586,1/14/1997 0:00,B 41
82,B_41_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,41, , ,2,788333.7637,2298064.327,6/21/2010 0:00, 
,B_42_1,1,,NA,NA,NA,2003,9,15,B,42,,,,,,,
142,B_42_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,42,,,0,788780.3941,2298281.761,1/14/1997 0:00,B 42
83,B_42_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,42, , ,2,788325.5406,2298061.533,6/21/2010 0:00, 
,B_43_1,1,,NA,NA,NA,2003,9,15,B,43,,,,,,,
143,B_43_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,43,,,0,788739.3455,2298305.24,1/14/1997 0:00,B 43
84,B_43_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,43, , ,2,788235.4322,2298084.513,6/21/2010 0:00, 
,B_44_1,1,,NA,NA,NA,2003,9,15,B,44,,,,,,,
144,B_44_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,44,,,0,788693.5659,2298332.664,1/14/1997 0:00,B 44
85,B_44_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,44, , ,2,788192.7815,2298086.214,6/21/2010 0:00, 
,B_45_1,1,,NA,NA,NA,2003,9,15,B,45,,,,,,,
145,B_45_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,45,,,0,788628.6926,2298371.092,1/14/1997 0:00,B 45
86,B_45_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,45, , ,2,788105.6207,2298080.252,6/21/2010 0:00, 
,B_46_1,1,,NA,NA,NA,2003,9,15,B,46,,,,,,,
146,B_46_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,46,,,0,788556.3673,2298412.659,1/14/1997 0:00,B 46
87,B_46_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,46, , ,2,787966.6781,2298081.7,6/21/2010 0:00, 
,B_47_1,1,,NA,NA,NA,2003,9,15,B,47,,,,,,,
147,B_47_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,47,,,0,788504.5902,2298443.515,1/14/1997 0:00,B 47
88,B_47_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,47, , ,2,787927.5552,2298108.891,6/21/2010 0:00, 
,B_48_1,1,,NA,NA,NA,2003,9,15,B,48,,,,,,,
148,B_48_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,48,,,0,788438.9853,2298481.174,1/14/1997 0:00,B 48
89,B_48_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,48, , ,2,787826.312,2298107.507,6/21/2010 0:00, 
,B_49_1,1,,NA,NA,NA,2003,9,15,B,49,,,,,,,
149,B_49_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,49,,,0,788403.0403,2298503.114,1/14/1997 0:00,B 49
90,B_49_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,49, , ,2,787819.1138,2298100.144,6/21/2010 0:00, 
,B_5_1,1,,NA,NA,NA,2003,9,15,B,5,,,,,,,
171,B_5_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,5,,,0,788386.9041,2295997.305,1/14/1997 0:00,B 05
46,B_5_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,5, , ,2,788290.4091,2295895.64,6/21/2010 0:00, 
,B_50_1,1,,NA,NA,NA,2003,9,15,B,50,,,,,,,
150,B_50_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,50,,,0,788354.9159,2298531.418,1/14/1997 0:00,B 50
91,B_50_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,50, , ,2,787717.0422,2298092.767,6/21/2010 0:00, 
,B_51_1,1,,NA,NA,NA,2003,9,15,B,51,,,,,,,
151,B_51_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,51,,,0,788295.7285,2298566.151,1/14/1997 0:00,B 51
92,B_51_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,51, , ,2,787565.1389,2298043.179,6/21/2010 0:00, 
,B_52_1,1,,NA,NA,NA,2003,9,15,B,52,,,,,,,
152,B_52_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,52,,,0,788229.6518,2298604.239,1/14/1997 0:00,B 52
93,B_52_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,52, , ,2,787545.2177,2298063.895,6/21/2010 0:00, 
,B_53_1,1,,NA,NA,NA,2003,9,15,B,53,,,,,,,
153,B_53_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,53,,,0,788161.5929,2298644.462,1/14/1997 0:00,B 53
94,B_53_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,53, , ,2,787509.9952,2298087.565,6/21/2010 0:00, 
,B_54_1,1,,NA,NA,NA,2003,9,15,B,54,,,,,,,
154,B_54_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,54,,,0,788098.1423,2298681.85,1/14/1997 0:00,B 54
95,B_54_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,54, , ,2,787407.9656,2298089.185,6/21/2010 0:00, 
,B_55_1,1,,NA,NA,NA,2003,9,15,B,55,,,,,,,
155,B_55_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,55,,,0,787946.6823,2298770.649,1/14/1997 0:00,B 55
96,B_55_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,55, , ,2,787377.5476,2298127.124,6/21/2010 0:00, 
,B_56_1,1,,NA,NA,NA,2003,9,15,B,56,,,,,,,
156,B_56_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,56,,,0,787918.2233,2298787.22,1/14/1997 0:00,B 56
97,B_56_3,3,B_Traps_5_27_2010_to_pres,2010,5,27,NA,NA,NA,B,56, , ,2,787356.3699,2298198.482,6/21/2010 0:00, 
,B_57_1,1,,NA,NA,NA,2003,9,15,B,57,,,,,,,
157,B_57_2,2,B_Traps2003_to_5_27_2010,2003,9,15,2010,5,27,B,57,,,0,787901.7191,2298796.503,1/14/1997 0:00,B 57
