Trapline,TrapNum,Year,Month,Day,predCaught,birdCaught,otherCaught,NumCaught,Sex,Age,Condition,Disposition,TrapStatus,BaitStatus,BaitPrev,BaitSet,Observer,Recorder,Comments,dateStr,date,trap,catchID,duplicate
F,18,2000,5,9,,,,0,,,NA,NA,M,,,,IC,IC,,20000509,36655,F18,20000509_F18,2
F,18,2000,5,9,,,,0,,,NA,NA,O,N,CD,,IC,IC,,20000509,36655,F18,20000509_F18,10
PAL,23,2000,5,18,,,,0,,,NA,NA,O,N,CD,,"TM, JC",TM,,20000518,36664,PAL23,20000518_PAL23,2
PAL,23,2000,5,18,,,,0,,,NA,NA,O,Y,CD,,"TM, JC",TM,,20000518,36664,PAL23,20000518_PAL23,9
E,34,2000,5,22,,,,0,,,NA,NA,M,,,,JC,RT,,20000522,36668,E34,20000522_E34,2
E,34,2000,5,22,,,,0,,,NA,NA,O,Y,CD,,JC,JC,,20000522,36668,E34,20000522_E34,10
LAI,138,2000,5,24,,,,0,,,NA,NA,O,N,CD,,"VS,TM",LS,,20000524,36670,LAI138,20000524_LAI138,2
LAI,138,2000,5,24,,,,0,,,NA,NA,O,Y,CD,,"VS,TM",LS,,20000524,36670,LAI138,20000524_LAI138,9
E,17,2000,6,1,,,,0,,,NA,NA,M,,,,"TM, LS",LS,,20000601,36678,E17,20000601_E17,2
E,17,2000,6,1,,,,0,,,NA,NA,O,Y,CD,,"TM, LS",LS,,20000601,36678,E17,20000601_E17,10
E,17,2000,6,6,,,,0,,,NA,NA,M,,,,VS,LS,,20000606,36683,E17,20000606_E17,2
E,17,2000,6,6,,,,0,,,NA,NA,O,Y,CD,,VS,LS,,20000606,36683,E17,20000606_E17,2
E,34,2000,6,6,,,,0,,,NA,NA,M,,,,VS,LS,,20000606,36683,E34,20000606_E34,10
E,34,2000,6,6,,,,0,,,NA,NA,O,N,CD,,VS,LS,,20000606,36683,E34,20000606_E34,2
F,53,2000,6,6,,,,0,,,NA,NA,M,,,,LS,LS,,20000606,36683,F53,20000606_F53,10
F,53,2000,6,6,,,,0,,,NA,NA,O,N,CD,,LS,LS,,20000606,36683,F53,20000606_F53,2
E,54,2000,6,6,,,,0,,,NA,NA,M,,,,VS,LS,,20000606,36683,E54,20000606_E54,10
E,54,2000,6,6,,,,0,,,NA,NA,O,Y,CD,,VS,LS,,20000606,36683,E54,20000606_E54,2
F,55,2000,6,6,,,,0,,,NA,NA,M,,,,LS,LS,,20000606,36683,F55,20000606_F55,10
F,55,2000,6,6,,,,0,,,NA,NA,O,N,CD,,LS,LS,,20000606,36683,F55,20000606_F55,2
E,69,2000,6,6,,,,0,,,NA,NA,O,N,CD,,VS,LS,,20000606,36683,E69,20000606_E69,9
E,69,2000,6,6,,,,0,,,NA,NA,O,Y,CD,,VS,LS,,20000606,36683,E69,20000606_E69,2
B,22,2000,6,12,,,,0,,,NA,NA,M,,,,"RT, DN",LS,,20000612,36689,B22,20000612_B22,10
B,22,2000,6,12,,,,0,,,NA,NA,O,N,CD,,"RT, DN",LS,,20000612,36689,B22,20000612_B22,2
B,52,2000,6,12,,,,0,,,NA,NA,M,,,,"RT, DN",LS,,20000612,36689,B52,20000612_B52,11
B,52,2000,6,12,RR,,,1,,,4,NA,C,N,CD,,"RT, DN",LS,,20000612,36689,B52,20000612_B52,2
F,52,2000,6,16,,,,0,,,NA,NA,C,N,CD,,VS,JC,,20000616,36693,F52,20000616_F52,8
F,52,2000,6,16,,,,0,,,NA,NA,O,N,CD,,VS,JC,,20000616,36693,F52,20000616_F52,2
B,44,2000,6,22,,,,0,,,NA,NA,O,N,CD,,JC,JC,,20000622,36699,B44,20000622_B44,9
B,44,2000,6,22,,,,0,,,NA,NA,O,Y,CD,,JC,JC,,20000622,36699,B44,20000622_B44,2
PAL,10,2000,6,23,,,,0,,,NA,NA,O,N,CD,,VS,LS,,20000623,36700,PAL10,20000623_PAL10,9
PAL,10,2000,6,23,,,,0,,,NA,NA,O,Y,CD,,VS,LS,,20000623,36700,PAL10,20000623_PAL10,2
PAL,15,2000,6,23,,,,0,,,NA,NA,O,N,CD,,VS,LS,,20000623,36700,PAL15,20000623_PAL15,9
PAL,15,2000,6,23,,,,0,,,NA,NA,O,Y,CD,,VS,LS,,20000623,36700,PAL15,20000623_PAL15,2
F,6,2000,6,28,,,,0,,,NA,NA,O,Y,CD,,JC,LS,,20000628,36705,F6,20000628_F6,11
F,6,2000,6,28,RR,,,1,,,3,NA,C,N,CD,,JC,LS,,20000628,36705,F6,20000628_F6,2
B,30,2000,6,28,,,,0,,,NA,NA,O,Y,CD,,VS,JC,,20000628,36705,B30,20000628_B30,11
B,30,2000,6,28,HA,,,1,M,A,2,NA,C,N,CD,,VS,JC,,20000628,36705,B30,20000628_B30,2
B,39,2000,6,28,,,,0,,,NA,NA,O,N,CD,,VS,JC,,20000628,36705,B39,20000628_B39,2
B,39,2000,6,28,,,,0,,,NA,NA,O,Y,CD,,VS,JC,,20000628,36705,B39,20000628_B39,9
B,40,2000,6,28,,,,0,,,NA,NA,O,N,CD,,VS,JC,,20000628,36705,B40,20000628_B40,2
B,40,2000,6,28,,,,0,,,NA,NA,O,Y,CD,,VS,JC,,20000628,36705,B40,20000628_B40,9
B,41,2000,6,28,,,,0,,,NA,NA,O,N,CD,,VS,JC,,20000628,36705,B41,20000628_B41,2
B,41,2000,6,28,,,,0,,,NA,NA,O,Y,CD,,VS,JC,,20000628,36705,B41,20000628_B41,9
B,44,2000,6,28,,,,0,,,NA,NA,O,N,CD,,VS,JC,,20000628,36705,B44,20000628_B44,2
B,44,2000,6,28,RR,,,1,M,A,2,NA,C,N,CD,,VS,JC,,20000628,36705,B44,20000628_B44,11
B,46,2000,6,28,,,,0,,,NA,NA,O,N,CD,,VS,JC,,20000628,36705,B46,20000628_B46,2
B,46,2000,6,28,RR,,,1,,A,2,NA,C,N,CD,,VS,JC,,20000628,36705,B46,20000628_B46,11
B,61,2000,6,28,,,,0,,,NA,NA,M,,CD,,VS,JC,,20000628,36705,B61,20000628_B61,2
B,61,2000,6,28,,,,0,,,NA,NA,O,N,CD,,VS,JC,,20000628,36705,B61,20000628_B61,10
B,62,2000,6,28,,,,0,,,NA,NA,O,N,CD,,VS,JC,,20000628,36705,B62,20000628_B62,2
B,62,2000,6,28,,,,0,,,NA,NA,O,Y,CD,,VS,JC,,20000628,36705,B62,20000628_B62,9
B,72,2000,6,28,,,,0,,,NA,NA,O,N,CD,,VS,JC,,20000628,36705,B72,20000628_B72,2
B,72,2000,6,28,,,,0,,,NA,NA,O,Y,CD,,VS,JC,,20000628,36705,B72,20000628_B72,9
B,10,2000,7,6,,,,0,,,NA,NA,C,N,CD,,PF,JC,,20000706,36713,B10,20000706_B10,2
B,10,2000,7,6,,,,0,,,NA,NA,O,N,CD,,PF,JC,,20000706,36713,B10,20000706_B10,9
B,65,2000,7,6,,,,0,,,NA,NA,C,Y,CD,,PF,JC,,20000706,36713,B65,20000706_B65,2
B,65,2000,7,6,RR,,,1,,A,2,NA,C,N,CD,,PF,JC,,20000706,36713,B65,20000706_B65,11
F,32,2000,7,10,,,,0,,,NA,NA,M,,,,"LS, ZM",LS,,20000710,36717,F32,20000710_F32,2
F,32,2000,7,10,,,,0,,,NA,NA,O,N,CD,,"LS, ZM",LS,,20000710,36717,F32,20000710_F32,10
F,53,2000,7,10,,,,0,,,NA,NA,M,,,,"LS, ZM",LS,,20000710,36717,F53,20000710_F53,2
F,53,2000,7,10,,,,0,,,NA,NA,O,N,CD,,"LS, ZM",LS,,20000710,36717,F53,20000710_F53,10
F,55,2000,7,10,,,,0,,,NA,NA,M,,,,"LS, ZM",LS,,20000710,36717,F55,20000710_F55,2
F,55,2000,7,10,,,,0,,,NA,NA,O,N,CD,,"LS, ZM",LS,,20000710,36717,F55,20000710_F55,10
PAL,75,2000,7,12,,,,0,,,NA,NA,O,N,CD,,"JC,NG,PF",LS,,20000712,36719,PAL75,20000712_PAL75,2
PAL,75,2000,7,12,,,,0,,,NA,NA,O,Y,CD,,"JC,NG,PF",LS,,20000712,36719,PAL75,20000712_PAL75,9
B,61,2000,7,17,,,,0,,,NA,NA,M,,CD,,PF,JC,,20000717,36724,B61,20000717_B61,2
B,61,2000,7,17,,,,0,,,NA,NA,O,N,CD,,PF,JC,,20000717,36724,B61,20000717_B61,10
B,66,2000,7,17,,,,0,,,NA,NA,M,,CD,,PF,JC,,20000717,36724,B66,20000717_B66,2
B,66,2000,7,17,,,,0,,,NA,NA,O,Y,CD,,PF,JC,,20000717,36724,B66,20000717_B66,10
B,36,2000,7,24,,,,0,,,NA,NA,M,,,,JC,LS,,20000724,36731,B36,20000724_B36,2
B,36,2000,7,24,,,,0,,,NA,NA,O,Y,CD,,JC,LS,,20000724,36731,B36,20000724_B36,10
F,53,2000,7,24,,,,0,,,NA,NA,M,,,,VS,LS,,20000724,36731,F53,20000724_F53,2
F,53,2000,7,24,,,,0,,,NA,NA,O,N,CD,,VS,LS,,20000724,36731,F53,20000724_F53,10
PAL,31,2000,7,26,,,,0,,,NA,NA,O,N,CD,,"JC, RT",VS,,20000726,36733,PAL31,20000726_PAL31,2
PAL,31,2000,7,26,RR,,,1,NR,NR,4,NA,C,N,CD,,"JC, RT",VS,,20000726,36733,PAL31,20000726_PAL31,11
D,27,2000,7,28,,,,0,,,NA,NA,O,N,CD,,MS,MS,,20000728,36735,D27,20000728_D27,2
D,27,2000,7,28,,,,0,,,NA,NA,O,Y,CD,,MS,MS,,20000728,36735,D27,20000728_D27,9
E,54,2000,7,28,,,,0,,,NA,NA,M,,,,LS,VS,,20000728,36735,E54,20000728_E54,2
E,54,2000,7,28,,,,0,,,NA,NA,O,N,CD,,LS,VS,,20000728,36735,E54,20000728_E54,10
E,62,2000,7,28,,,,0,,,NA,NA,M,,,,LS,VS,,20000728,36735,E62,20000728_E62,2
E,62,2000,7,28,,,,0,,,NA,NA,O,N,CD,,LS,VS,,20000728,36735,E62,20000728_E62,10
C,8,2000,8,1,,,,0,,,NA,NA,O,N,CD,,NG,VS,,20000801,36739,C8,20000801_C8,2
C,8,2000,8,1,,,,0,,,NA,NA,O,Y,CD,,NG,VS,,20000801,36739,C8,20000801_C8,9
C,9,2000,8,1,,,,0,,,NA,NA,O,N,CD,,NG,VS,,20000801,36739,C9,20000801_C9,2
C,9,2000,8,1,RR,,,1,M,NR,3,NA,C,N,CD,,NG,VS,,20000801,36739,C9,20000801_C9,11
E,15,2000,8,2,,,,0,,,NA,NA,O,N,CD,,JC,JC,,20000802,36740,E15,20000802_E15,2
E,15,2000,8,2,,,,0,,,NA,NA,O,Y,CD,,JC,JC,,20000802,36740,E15,20000802_E15,10
E,34,2000,8,7,,,,0,,,NA,NA,M,,,,"MS, VS","MS,VS",,20000807,36745,E34,20000807_E34,2
E,34,2000,8,7,,,,0,,,NA,NA,O,N,CD,,"MS, VS","MS,VS",,20000807,36745,E34,20000807_E34,10
PAL,30,2000,8,9,,,,0,,,NA,NA,O,N,CD,,"MS,JT",MS,,20000809,36747,PAL30,20000809_PAL30,2
PAL,30,2000,8,9,,,,0,,,NA,NA,O,Y,CD,,"MS,JT",MS,,20000809,36747,PAL30,20000809_PAL30,9
E,17,2000,8,14,,,,0,,,NA,NA,M,,,,VS,VS,,20000814,36752,E17,20000814_E17,2
E,17,2000,8,14,,,,0,,,NA,NA,O,N,CD,,VS,RT,,20000814,36752,E17,20000814_E17,10
E,62,2000,8,14,,,,0,,,NA,NA,M,,,,VS,VS,,20000814,36752,E62,20000814_E62,2
E,62,2000,8,14,,,,0,,,NA,NA,O,N,CD,,VS,VS,,20000814,36752,E62,20000814_E62,10
PAL,1,2000,8,15,,,,0,,,NA,NA,O,N,CD,,"MS,JC",MS,,20000815,36753,PAL1,20000815_PAL1,2
PAL,1,2000,8,15,,,,0,,,NA,NA,O,Y,CD,,"MS,JC",MS,,20000815,36753,PAL1,20000815_PAL1,9
PAL,23,2000,8,15,,,,0,,,NA,NA,O,N,CD,,"MS,JC",MS,,20000815,36753,PAL23,20000815_PAL23,2
PAL,23,2000,8,15,,,,0,,,NA,NA,O,Y,CD,,"MS,JC",MS,,20000815,36753,PAL23,20000815_PAL23,9
F,9,2000,8,16,,,,0,,,NA,NA,C,Y,CD,,VS,VS,,20000816,36754,F9,20000816_F9,2
F,9,2000,8,16,,,,0,,,NA,NA,O,N,CD,,VS,VS,,20000816,36754,F9,20000816_F9,10
F,63,2000,8,16,,,,0,,,NA,NA,O,N,CD,,VS,VS,,20000816,36754,F63,20000816_F63,2
F,63,2000,8,16,,,,0,,,NA,NA,O,Y,CD,,VS,VS,,20000816,36754,F63,20000816_F63,9
F,64,2000,8,16,,,,0,,,NA,NA,O,N,CD,,VS,VS,,20000816,36754,F64,20000816_F64,2
F,64,2000,8,16,RR,,,1,U,SA,4,1,C,N,CD,,VS,VS,,20000816,36754,F64,20000816_F64,11
B,36,2000,8,22,,,,0,,,NA,NA,M,,CD,,JC,JC,,20000822,36760,B36,20000822_B36,2
B,36,2000,8,22,,,,0,,,NA,NA,O,N,CD,,JC,JC,,20000822,36760,B36,20000822_B36,10
B,23,2000,8,28,,,,0,,,NA,NA,M,,CD,,MS,JC,,20000828,36766,B23,20000828_B23,2
B,23,2000,8,28,,,,0,,,NA,NA,O,N,CD,,MS,JC,,20000828,36766,B23,20000828_B23,10
F,32,2000,9,5,,,,0,,,NA,NA,M,,,,MS,MS,,20000905,36774,F32,20000905_F32,2
F,32,2000,9,5,,,,0,,,NA,NA,O,N,CD,,MS,MS,,20000905,36774,F32,20000905_F32,10
B,36,2000,9,5,,,,0,,,NA,NA,M,,,,JC,MS,,20000905,36774,B36,20000905_B36,2
B,36,2000,9,5,,,,0,,,NA,NA,O,N,CD,,JC,MS,,20000905,36774,B36,20000905_B36,10
F,53,2000,9,5,,,,0,,,NA,NA,M,,,,MS,MS,,20000905,36774,F53,20000905_F53,2
F,53,2000,9,5,,,,0,,,NA,NA,O,N,CD,,MS,MS,,20000905,36774,F53,20000905_F53,10
B,59,2000,9,5,,,,0,,,NA,NA,NC,,,,JC,MS,,20000905,36774,B59,20000905_B59,2
B,59,2000,9,5,,,,0,,,NA,NA,O,N,CD,,JC,MS,,20000905,36774,B59,20000905_B59,10
B,61,2000,9,5,,,,0,,,NA,NA,M,,,,JC,MS,,20000905,36774,B61,20000905_B61,2
B,61,2000,9,5,,,,0,,,NA,NA,O,N,CD,,JC,MS,,20000905,36774,B61,20000905_B61,10
F,68,2000,9,5,,,,0,,,NA,NA,C,N,CD,,MS,MS,,20000905,36774,F68,20000905_F68,2
F,68,2000,9,5,,,,0,,,NA,NA,O,N,CD,,MS,MS,,20000905,36774,F68,20000905_F68,8
F,69,2000,9,5,,,,0,,,NA,NA,C,N,CD,,MS,MS,,20000905,36774,F69,20000905_F69,2
F,69,2000,9,5,,,,0,,,NA,NA,O,N,CD,,MS,MS,,20000905,36774,F69,20000905_F69,8
E,61,2000,9,11,,,,0,,,NA,NA,O,N,CD,,JC,MS,,20000911,36780,E61,20000911_E61,2
E,61,2000,9,11,,,,0,,,NA,NA,O,Y,CD,,JC,MS,,20000911,36780,E61,20000911_E61,8
E,62,2000,9,11,,,,0,,,NA,NA,M,,CD,,JC,MS,,20000911,36780,E62,20000911_E62,2
E,62,2000,9,11,,,,0,,,NA,NA,O,N,CD,,JC,MS,,20000911,36780,E62,20000911_E62,10
B,17,2000,9,12,,,,0,,,NA,NA,C,N,CD,,MS,MJW,,20000912,36781,B17,20000912_B17,2
B,17,2000,9,12,,,,0,,,NA,NA,O,N,CD,,MS,MJW,,20000912,36781,B17,20000912_B17,8
F,23,2000,9,12,,,,0,,,NA,NA,C,N,CD,,JC,MS,,20000912,36781,F23,20000912_F23,2
F,23,2000,9,12,,,,0,,,NA,NA,O,N,CD,,JC,MS,,20000912,36781,F23,20000912_F23,8
F,46,2000,9,12,,,,0,,,NA,NA,C,N,CD,,JC,MS,,20000912,36781,F46,20000912_F46,2
F,46,2000,9,12,,,,0,,,NA,NA,O,N,CD,,JC,MS,,20000912,36781,F46,20000912_F46,10
F,53,2000,9,12,,,,0,,,NA,NA,M,,,,JC,MS,,20000912,36781,F53,20000912_F53,2
F,53,2000,9,12,,,,0,,,NA,NA,O,N,CD,,JC,MS,,20000912,36781,F53,20000912_F53,10
F,58,2000,9,12,,,,0,,,NA,NA,O,N,CD,,JC,MS,,20000912,36781,F58,20000912_F58,2
F,58,2000,9,12,,,,0,,,NA,NA,O,Y,CD,,JC,MS,,20000912,36781,F58,20000912_F58,9
B,9,2000,9,18,,,,0,,,NA,NA,C,N,CD,,JC,MJW,,20000918,36787,B9,20000918_B9,2
B,9,2000,9,18,,,,0,,,NA,NA,O,N,CD,,JC,MJW,,20000918,36787,B9,20000918_B9,8
B,39,2000,9,18,,,,0,,,NA,NA,C,N,CD,,JC,MJW,,20000918,36787,B39,20000918_B39,2
B,39,2000,9,18,,,,0,,,NA,NA,O,N,CD,,JC,MJW,,20000918,36787,B39,20000918_B39,8
B,49,2000,9,18,,,,0,,,NA,NA,O,N,CD,,JC,MJW,,20000918,36787,B49,20000918_B49,2
B,49,2000,9,18,RR,,,1,M,A,2,NA,C,N,CD,,JC,MJW,,20000918,36787,B49,20000918_B49,11
F,18,2000,9,19,,,,0,,,NA,NA,M,,,,MS,MS,,20000919,36788,F18,20000919_F18,2
F,18,2000,9,19,,,,0,,,NA,NA,O,N,CD,,MS,MS,,20000919,36788,F18,20000919_F18,10
F,66,2000,9,19,,,,0,,,NA,NA,O,N,CD,,MS,MS,,20000919,36788,F66,20000919_F66,2
F,66,2000,9,19,,,,0,,,NA,NA,O,Y,CD,,MS,MS,,20000919,36788,F66,20000919_F66,8
PAL,82,2000,9,20,,,,0,,,NA,NA,C,Y,CD,,ZM,MS,,20000920,36789,PAL82,20000920_PAL82,2
PAL,82,2000,9,20,,,,0,,,NA,NA,O,N,CD,,ZM,MS,,20000920,36789,PAL82,20000920_PAL82,10
D,19,2000,9,21,,,,0,,,NA,NA,NC,,CD,,RT,MJW,,20000921,36790,D19,20000921_D19,2
D,19,2000,9,21,,,,0,,,NA,NA,O,N,CD,,RT,MJW,,20000921,36790,D19,20000921_D19,10
D,22,2000,9,21,,,,0,,,NA,NA,NC,,CD,,RT,MJW,,20000921,36790,D22,20000921_D22,2
D,22,2000,9,21,,,,0,,,NA,NA,O,Y,CD,,RT,MJW,,20000921,36790,D22,20000921_D22,10
F,62,2000,9,29,,,,0,,,NA,NA,C,N,CD,,"MS, MJW",MJW,,20000929,36798,F62,20000929_F62,2
F,62,2000,9,29,,,,0,,,NA,NA,O,N,CD,,"MS, MJW",MJW,,20000929,36798,F62,20000929_F62,8
F,40,2000,10,2,,,,0,,,NA,NA,O,N,CD,,MS,MJW,,20001002,36801,F40,20001002_F40,2
F,40,2000,10,2,,,,0,,,NA,NA,O,Y,CD,,MS,MJW,,20001002,36801,F40,20001002_F40,9
F,46,2000,10,2,,,,0,,,NA,NA,O,N,CD,,MS,MJW,,20001002,36801,F46,20001002_F46,2
F,46,2000,10,2,,,,0,,,NA,NA,O,Y,CD,,MS,MJW,Ants on bait,20001002,36801,F46,20001002_F46,10
E,36,2000,10,10,,,,0,,,NA,NA,C,N,CD,,MS,MJW,,20001010,36809,E36,20001010_E36,2
E,36,2000,10,10,,,,0,,,NA,NA,O,N,CD,,MS,MJW,,20001010,36809,E36,20001010_E36,8
PAL,31,2000,10,12,,,,0,,,NA,NA,C,N,CD,,"JC, MJW",RT,,20001012,36811,PAL31,20001012_PAL31,2
PAL,31,2000,10,12,,,,0,,,NA,NA,O,Y,CD,,"JC, MJW",RT,,20001012,36811,PAL31,20001012_PAL31,10
PAL,43,2000,10,12,,,,0,,,NA,NA,O,N,CD,,"JC, MJW",RT,,20001012,36811,PAL43,20001012_PAL43,2
