"Trapline","TrapNum","Year","Month","Day","predCaught","birdCaught","otherCaught","NumCaught","Sex","Age","Condition","Disposition","TrapStatus","BaitStatus","BaitPrev","BaitSet","Observer","Recorder","Comments","dateStr","date","trap","catchID","duplicate","BaitPrevOld"
"A","14",2013,9,10,"RR","",NA,1,"UNK","Adult",2,NA,"C","N",NA,"WM","SO","SJB","",20130910,"9/10/2013","A14","20130910_A14",1,""
"A","14",2013,9,10,"","",NA,NA,"","",NA,NA,"O","N","WM","WM","SO","SJB","",20130910,"9/10/2013","A14","20130910_A14",4,""
"A","15",2009,12,16,"","",NA,0,"","",NA,NA,"C","N",NA,"DO","","ALF","",20091216,"12/16/2009","A15","20091216_A15",1,""
"A","15",2009,12,16,"","",NA,0,"","",NA,NA,"O","N","DO","DO","","ALF","",20091216,"12/16/2009","A15","20091216_A15",4,""
"A","15",2014,2,24,"","",NA,NA,"","",NA,NA,"C","Y",NA,"CD","KG","LH","",20140224,"2/24/2014","A15","20140224_A15",1,NA
"A","15",2014,2,24,"","",NA,NA,"","",NA,NA,"O","Y",NA,"CD","KG","LH","",20140224,"2/24/2014","A15","20140224_A15",4,NA
"A","15",2007,3,14,"","",NA,0,"","",NA,NA,"O","Y","CD","DO","PF","MS","",20070314,"3/14/2007","A15","20070314_A15",1,""
"A","15",2007,3,14,"","",NA,0,"","",NA,NA,"O","N","DO","DO","PF","MS","",20070314,"3/14/2007","A15","20070314_A15",4,""
"A","16",2004,3,15,"","",NA,0,"","",NA,NA,"C","N","D","","ZM","KD","",20040315,"3/15/2004","A16","20040315_A16",1,"D"
"A","16",2004,3,15,"","",NA,0,"","",NA,NA,"O","N","D","","ZM","KD","",20040315,"3/15/2004","A16","20040315_A16",4,"D"
"A","16",2004,7,28,"RR","",NA,1,"","Adult",1,NA,"C","N","DO","","ACM","RFT","left in trap",20040728,"7/28/2004","A16","20040728_A16",1,"DO"
"A","16",2004,7,28,"","",NA,0,"","",NA,NA,"O","N","DO","","ACM","RFT","",20040728,"7/28/2004","A16","20040728_A16",4,"DO"
"A","17",2011,11,2,"RR","",NA,1,"M","Adult",2,NA,"C","N",NA,"DO","DB","DB","",20111102,"11/2/2011","A17","20111102_A17",1,""
"A","17",2011,11,2,"","",NA,0,"","",NA,NA,"O","N","DO","DO","DB","DB","",20111102,"11/2/2011","A17","20111102_A17",4,""
"A","19",2004,7,28,"","CHUK",NA,1,"","",1,NA,"C","Y","DO","","ACM","RFT","",20040728,"7/28/2004","A19","20040728_A19",1,"DO"
"A","19",2004,7,28,"","",NA,0,"","",NA,NA,"O","N","DO","","ACM","RFT","",20040728,"7/28/2004","A19","20040728_A19",4,"DO"
"A","19",2008,9,13,"","",NA,0,"","",NA,NA,"C","N","","CD","JD","ELC","Saturday 9/13/08, flex",20080913,"9/13/2008","A19","20080913_A19",1,""
"A","19",2008,9,13,"","",NA,0,"","",NA,NA,"O","N","CD","CD","JD","ELC","Saturday 9/13/08, flex",20080913,"9/13/2008","A19","20080913_A19",4,""
"A","2",2007,3,14,"","",NA,0,"","",NA,NA,"O","Y",NA,"DO","PF","MS","",20070314,"3/14/2007","A2","20070314_A2",1,""
"A","2",2007,3,14,"","",NA,0,"","",NA,NA,"O","N","DO","DO","PF","MS","",20070314,"3/14/2007","A2","20070314_A2",4,""
"A","2",2001,5,22,"","",NA,0,"","",NA,NA,"NC","","CD","","AC","AC","NOT CHECKED DUE TO CONSTRUCTION BLOCK OFF",20010522,"5/22/2001","A2","20010522_A2",1,"CD"
"A","2",2001,5,22,"","",NA,0,"","",NA,NA,"O","N","CD","","AC","AC","",20010522,"5/22/2001","A2","20010522_A2",4,"CD"
"A","20",2008,2,5,"","",NA,0,"","",NA,NA,"O","Y",NA,"CD","PF","DH","",20080205,"2/5/2008","A20","20080205_A20",1,""
"A","20",2008,2,5,"","",NA,0,"","",NA,NA,"O","N","CD","CD","PF","DH","",20080205,"2/5/2008","A20","20080205_A20",4,""
"A","20",2008,3,11,"","",NA,0,"","",NA,NA,"O","Y","CD","DO","PF","DH","",20080311,"3/11/2008","A20","20080311_A20",1,""
"A","20",2008,3,11,"","",NA,0,"","",NA,NA,"O","N","DO","DO","PF","DH","",20080311,"3/11/2008","A20","20080311_A20",4,""
"A","20",2007,3,14,"","",NA,0,"","",NA,NA,"O","Y","DO","DO","PF","MS","",20070314,"3/14/2007","A20","20070314_A20",1,""
"A","20",2007,3,14,"","",NA,0,"","",NA,NA,"O","N","DO","DO","PF","MS","",20070314,"3/14/2007","A20","20070314_A20",4,""
"A","20",2004,3,15,"","CHUK",NA,2,"","",NA,NA,"C","N","D","","ZM","KD","",20040315,"3/15/2004","A20","20040315_A20",1,"D"
"A","20",2004,3,15,"","",NA,0,"","",NA,NA,"O","N","D","","ZM","KD","",20040315,"3/15/2004","A20","20040315_A20",4,"D"
"A","20",2006,4,20,"","",NA,0,"","",NA,NA,"C","N","","DO","EG, BL","EG","1CHUK-1 from previous week",20060420,"4/20/2006","A20","20060420_A20",1,""
"A","20",2006,4,20,"","",NA,0,"","",NA,NA,"O","N","DO","DO","EG, BL","EG","",20060420,"4/20/2006","A20","20060420_A20",4,""
"A","20",2008,5,6,"","",NA,0,"","",NA,NA,"C","Y","DO","DO","DH","CN","",20080506,"5/6/2008","A20","20080506_A20",1,""
"A","20",2008,5,6,"","",NA,0,"","",NA,NA,"O","N","DO","DO","DH","CN","",20080506,"5/6/2008","A20","20080506_A20",4,""
"A","20",2003,9,2,"","",NA,0,"","",NA,NA,"O","Y","DO","","ZM","PM","",20030902,"9/2/2003","A20","20030902_A20",1,"DO"
"A","20",2003,9,2,"","",NA,0,"","",NA,NA,"O","N","DO","","ZM","PM","",20030902,"9/2/2003","A20","20030902_A20",4,"DO"
"A","20",2009,9,28,"","",NA,0,"","",NA,NA,"C","N","","DO","DFD","JB","",20090928,"9/28/2009","A20","20090928_A20",1,""
"A","20",2009,9,28,"","",NA,0,"","",NA,NA,"O","N","DO","DO","DFD","JB","",20090928,"9/28/2009","A20","20090928_A20",4,""
"A","21",2004,12,15,"","",NA,0,"","",NA,NA,"O","N","DO","","SB","RK","",20041215,"12/15/2004","A21","20041215_A21",1,"DO"
"A","21",2004,12,15,"","",NA,0,"","",NA,NA,"C","N","DO","","SB","RK","1RR-3 Ad. From previous week",20041215,"12/15/2004","A21","20041215_A21",4,"DO"
"A","21",2004,12,6,"RR","",NA,1,"","Adult",1,NA,"C","N","DO","","SB","RK","",20041206,"12/6/2004","A21","20041206_A21",1,"DO"
"A","21",2004,12,6,"","",NA,0,"","",NA,NA,"O","N","DO","","SB","RK","",20041206,"12/6/2004","A21","20041206_A21",4,"DO"
"A","21",2000,3,7,"","",NA,0,"","",NA,NA,"O","Y","CD","","CB,TM","CB","",20000307,"3/7/2000","A21","20000307_A21",1,"CD"
"A","21",2000,3,7,"","",NA,0,"","",NA,NA,"O","N","CD","","CB,TM","CB","",20000307,"3/7/2000","A21","20000307_A21",4,"CD"
"A","22",2005,6,15,"RR","",NA,1,"","",4,NA,"C","N","DO","","CW","MB","",20050615,"6/15/2005","A22","20050615_A22",1,"DO"
"A","22",2005,6,15,"","",NA,0,"","",NA,NA,"O","N","DO","","CW","MB","",20050615,"6/15/2005","A22","20050615_A22",4,"DO"
"A","23",2007,3,14,"","",NA,0,"","",NA,NA,"O","Y",NA,"DO","PF","MS","",20070314,"3/14/2007","A23","20070314_A23",1,""
"A","23",2007,3,14,"","",NA,0,"","",NA,NA,"O","N","DO","DO","PF","MS","",20070314,"3/14/2007","A23","20070314_A23",4,""
"A","23",2007,9,24,"RR","",NA,1,"","Adult",3,NA,"C","N","DO","CD","EM","PF","",20070924,"9/24/2007","A23","20070924_A23",1,""
"A","23",2007,9,24,"","",NA,0,"","",NA,NA,"O","N","CD","CD","EM","PF","",20070924,"9/24/2007","A23","20070924_A23",4,""
"A","24",2007,10,22,"","",NA,0,"","",NA,NA,"C","Y",NA,"DO","NK, EM","DH","",20071022,"10/22/2007","A24","20071022_A24",1,""
"A","24",2007,10,22,"","",NA,0,"","",NA,NA,"O","Y","DO","DO","NK, EM","DH","",20071022,"10/22/2007","A24","20071022_A24",4,""
"A","24",2006,12,19,"RR","",NA,1,"M","Adult",2,NA,"C","N","DO","DO","EM","MS","",20061219,"12/19/2006","A24","20061219_A24",1,""
"A","24",2006,12,19,"","",NA,0,"","",NA,NA,"O","N","DO","DO","EM","MS","",20061219,"12/19/2006","A24","20061219_A24",4,""
"A","24",2007,3,14,"","",NA,0,"","",NA,NA,"O","Y","DO","DO","PF","MS","",20070314,"3/14/2007","A24","20070314_A24",1,""
"A","24",2007,3,14,"","",NA,0,"","",NA,NA,"O","N","DO","DO","PF","MS","",20070314,"3/14/2007","A24","20070314_A24",4,""
"A","24",2006,3,21,"","",NA,0,"","",NA,NA,"C","N","DO","DO","LG","ET","",20060321,"3/21/2006","A24","20060321_A24",1,""
"A","24",2006,3,21,"","",NA,0,"","",NA,NA,"O","N","DO","DO","LG","ET","",20060321,"3/21/2006","A24","20060321_A24",4,""
"A","24",2008,5,13,"","",NA,0,"","",NA,NA,"C","N","DO","DO","DH","CN","",20080513,"5/13/2008","A24","20080513_A24",1,""
"A","24",2008,5,13,"","",NA,0,"","",NA,NA,"O","N","DO","DO","DH","CN","",20080513,"5/13/2008","A24","20080513_A24",4,""
"A","25",2007,3,14,"","",NA,0,"","",NA,NA,"O","Y",NA,"DO","PF","MS","",20070314,"3/14/2007","A25","20070314_A25",1,""
"A","25",2007,3,14,"","",NA,0,"","",NA,NA,"O","N","DO","DO","PF","MS","",20070314,"3/14/2007","A25","20070314_A25",4,""
"A","25",2001,6,6,"","",NA,0,"","",NA,NA,"C","N","CD","","HF","AC","",20010606,"6/6/2001","A25","20010606_A25",1,"CD"
"A","25",2001,6,6,"","",NA,0,"","",NA,NA,"O","N","CD","","HF","AC","",20010606,"6/6/2001","A25","20010606_A25",4,"CD"
"A","25",2007,7,26,"","",NA,0,"","",NA,NA,"C","N","","CD","EM","RK","",20070726,"7/26/2007","A25","20070726_A25",1,""
"A","25",2007,7,26,"","",NA,0,"","",NA,NA,"O","N","CD","CD","EM","RK","",20070726,"7/26/2007","A25","20070726_A25",4,""
"A","26",2007,10,9,"","",NA,0,"","",NA,NA,"C","Y",NA,"DO","EM","PF","",20071009,"10/9/2007","A26","20071009_A26",1,""
"A","26",2007,10,9,"","",NA,0,"","",NA,NA,"O","N","DO","DO","EM","PF","",20071009,"10/9/2007","A26","20071009_A26",4,""
"A","26",2001,6,29,"","",NA,0,"","",NA,NA,"C","N","CD","","JK, HF","JK","",20010629,"6/29/2001","A26","20010629_A26",1,"CD"
"A","26",2001,6,29,"","",NA,0,"","",NA,NA,"O","N","CD","","JK, HF","JK","",20010629,"6/29/2001","A26","20010629_A26",4,"CD"
"A","26",2007,7,6,"","",NA,0,"","",NA,NA,"C","Y","","DO","KA","RK","",20070706,"7/6/2007","A26","20070706_A26",1,""
"A","26",2007,7,6,"","",NA,0,"","",NA,NA,"O","N","DO","DO","KA","RK","",20070706,"7/6/2007","A26","20070706_A26",4,""
"A","26",2006,8,1,"","",NA,0,"","",NA,NA,"C","Y","DO","DO","ET","ES","",20060801,"8/1/2006","A26","20060801_A26",1,""
"A","26",2006,8,1,"","",NA,0,"","",NA,NA,"O","Y","DO","DO","ET","RK","",20060801,"8/1/2006","A26","20060801_A26",4,""
"A","27",2003,2,10,"","",NA,0,"","",NA,NA,"C","N","CD","","BH","AT","",20030210,"2/10/2003","A27","20030210_A27",1,"CD"
"A","27",2003,2,10,"","",NA,0,"","",NA,NA,"O","N","CD","","BH","AT","",20030210,"2/10/2003","A27","20030210_A27",4,"CD"
"A","3",2008,10,2,"","",NA,0,"","",NA,NA,"C","N",NA,"DO","JD","ELC","ST 1 = ONB, ST 2 = broken",20081002,"10/2/2008","A3","20081002_A3",1,""
"A","3",2008,10,2,"","",NA,0,"","",NA,NA,"O","N","DO","DO","JD","ELC","ST 1 = ONB, ST 2 = broken",20081002,"10/2/2008","A3","20081002_A3",4,""
"A","3",2013,10,29,"RR","",NA,1,"UNK","Sub-Adult",2,NA,"C","N","DO","CD","SO","SJB","",20131029,"10/29/2013","A3","20131029_A3",1,""
"A","3",2013,10,29,"","",NA,NA,"","",NA,NA,"O","N","CD","CD","SO","SJB","",20131029,"10/29/2013","A3","20131029_A3",4,""
"A","3",2002,3,11,"RR","",NA,1,"A","",3,NA,"C","N","CD","","SR","SR","",20020311,"3/11/2002","A3","20020311_A3",1,"CD"
"A","3",2002,3,11,"","",NA,0,"","",NA,NA,"O","N","CD","","SR","SR","",20020311,"3/11/2002","A3","20020311_A3",4,"CD"
"A","30",2007,11,20,"RR","",NA,1,"","",4,NA,"C","N",NA,"DO","EM","DH","",20071120,"11/20/2007","A30","20071120_A30",1,""
"A","30",2007,11,20,"","",NA,0,"","",NA,NA,"O","N","DO","DO","EM","DH","",20071120,"11/20/2007","A30","20071120_A30",4,""
"A","35",2005,11,7,"","",NA,0,"","",NA,NA,"C","N","DO","","MB","MB","TRAP BY BUSH",20051107,"11/7/2005","A35","20051107_A35",1,"DO"
"A","35",2005,11,7,"","",NA,0,"","",NA,NA,"O","Y","DO","","MB","MB","TRAP BY POLE",20051107,"11/7/2005","A35","20051107_A35",4,"DO"
"A","4",2004,10,12,"","",NA,0,"","",NA,NA,"C","N","DO","","ZM","SB","",20041012,"10/12/2004","A4","20041012_A4",1,"DO"
"A","4",2004,10,12,"","",NA,0,"","",NA,NA,"O","N","DO","","ZM","SB","",20041012,"10/12/2004","A4","20041012_A4",4,"DO"
"A","4",2003,2,18,"","",NA,0,"","",NA,NA,"C","N","DO","","BH","AT","",20030218,"2/18/2003","A4","20030218_A4",1,"DO"
"A","4",2003,2,18,"","",NA,0,"","",NA,NA,"O","N","DO","","BH","AT","",20030218,"2/18/2003","A4","20030218_A4",4,"DO"
"A","4",2004,3,15,"","",NA,0,"","",NA,NA,"O","Y","D","","ZM","KD","",20040315,"3/15/2004","A4","20040315_A4",1,"D"
"A","4",2004,3,15,"","",NA,0,"","",NA,NA,"O","N","D","","ZM","KD","",20040315,"3/15/2004","A4","20040315_A4",4,"D"
"A","5",2004,6,17,"","",NA,0,"","",NA,NA,"C","Y","DO","","IE ACM","RFT","",20040617,"6/17/2004","A5","20040617_A5",1,"DO"
"A","5",2004,6,17,"","",NA,0,"","",NA,NA,"O","N","DO","","IE ACM","RFT","",20040617,"6/17/2004","A5","20040617_A5",4,"DO"
"A","5",2006,9,5,"","",NA,0,"","",NA,NA,"O","Y","","DO","RK","MS","",20060905,"9/5/2006","A5","20060905_A5",1,""
"A","5",2006,9,5,"","",NA,0,"","",NA,NA,"O","N","DO","DO","RK","MS","",20060905,"9/5/2006","A5","20060905_A5",4,""
"B","1",2014,12,29,"","",NA,NA,"","",NA,NA,"O","N",NA,"CD&DRY DOG","HT","LH","",20141229,"12/29/2014","B1","20141229_B1",1,NA
"B","1",2014,12,20,"","",NA,NA,"","",NA,NA,"O","Y",NA,"MINNESOTA BOBCAT CHUNK","RK","LH","",20141229,"12/29/2014","B1","20141229_B1",1,NA
"B","1",2010,5,5,"","",NA,0,"","",NA,NA,"C","N","MINNESOTA BOBCAT CHUNK","DO","DFD, AW","JM","Opened",20100505,"5/5/2010","B1","20100505_B1",1,""
"B","1",2010,5,5,"RR","",NA,1,"M","Sub-Adult",3,NA,"C","N","DO","DO","DFD","JM","",20100505,"5/5/2010","B1","20100505_B1",4,""
"B","1",2013,7,22,"","",NA,NA,"","",NA,NA,"O","Y","DO","DO","MJ","KG","",20130722,"7/22/2013","B1","20130722_B1",1,""
"B","10",2000,7,6,"","",NA,0,"","",NA,NA,"C","N","CD","","PF","JC","",20000706,"7/6/2000","B10","20000706_B10",1,"CD"
"B","10",2000,7,6,"","",NA,0,"","",NA,NA,"O","N","CD","","PF","JC","",20000706,"7/6/2000","B10","20000706_B10",4,"CD"
"B","11",2007,7,24,"","",NA,0,"","",NA,NA,"C","N",NA,"CD","RFT","RK","",20070724,"7/24/2007","B11","20070724_B11",1,""
"B","11",2007,7,24,"","",NA,0,"","",NA,NA,"O","N","CD","CD","RFT","RK","",20070724,"7/24/2007","B11","20070724_B11",4,""
"B","11",2008,8,12,"","",NA,0,"","",NA,NA,"C","N","CD","DO","DH,CN","DH","",20080812,"8/12/2008","B11","20080812_B11",1,""
"B","11",2008,8,12,"","",NA,0,"","",NA,NA,"O","N","DO","DO","DH,CN","DH","",20080812,"8/12/2008","B11","20080812_B11",4,""
"B","13",2014,2,3,"","",NA,NA,"","",NA,NA,"C","Y",NA,"CD","EJH","EJH","",20140203,"2/3/2014","B13","20140203_B13",1,NA
"B","13",2014,2,3,"","",NA,NA,"","",NA,NA,"O","N",NA,"CD","EJH","EJH","",20140203,"2/3/2014","B13","20140203_B13",4,NA
"B","13",2013,3,26,"RR","",NA,1,"UNK","Adult",2,NA,"C","N","CD","DO","ZC","MJ","",20130326,"3/26/2013","B13","20130326_B13",1,""
"B","13",2013,3,26,"","",NA,NA,"","",NA,NA,"O","N","DO","DO","ZC","MJ","",20130326,"3/26/2013","B13","20130326_B13",4,""
"B","13",2008,6,24,"RR","",NA,1,"M","Adult",2,NA,"C","N","DO","DO","DH","DH","",20080624,"6/24/2008","B13","20080624_B13",1,""
"B","13",2008,6,24,"","",NA,0,"","",NA,NA,"O","N","DO","DO","DH","DH","",20080624,"6/24/2008","B13","20080624_B13",4,""
"B","14",2004,1,6,"","",NA,0,"","",NA,NA,"C","N","DO","","ZM","KD","",20040106,"1/6/2004","B14","20040106_B14",1,"DO"
"B","14",2004,1,6,"","",NA,0,"","",NA,NA,"O","N","DO","","ZM","RK","",20040106,"1/6/2004","B14","20040106_B14",4,"DO"
"B","15",2005,2,14,"","",NA,0,"","",NA,NA,"O","Y","DO","","JB","CN","",20050214,"2/14/2005","B15","20050214_B15",1,"DO"
"B","15",2005,2,14,"","",NA,0,"","",NA,NA,"O","N","DO","","JB","CW","",20050214,"2/14/2005","B15","20050214_B15",4,"DO"
"B","15",2005,2,28,"","",NA,0,"","",NA,NA,"C","N","DO","","JC","CN","",20050228,"2/28/2005","B15","20050228_B15",1,"DO"
"B","15",2005,2,28,"","",NA,0,"","",NA,NA,"M","N","DO","","JC","CN","",20050228,"2/28/2005","B15","20050228_B15",4,"DO"
"B","17",2000,9,12,"","",NA,0,"","",NA,NA,"C","N","CD","","MS","MJW","",20000912,"9/12/2000","B17","20000912_B17",1,"CD"
"B","17",2000,9,12,"","",NA,0,"","",NA,NA,"O","N","CD","","MS","MJW","",20000912,"9/12/2000","B17","20000912_B17",4,"CD"
"B","18",2013,12,18,"","",NA,NA,"","",NA,NA,"O","Y",NA,"WM","SO","SJB","",20131218,"12/18/2013","B18","20131218_B18",1,""
"B","18",2013,12,18,"","",NA,NA,"","",NA,NA,"O","N","WM","WM","SO","SJB","",20131218,"12/18/2013","B18","20131218_B18",4,""
"B","18",2005,6,21,"","",NA,0,"","",NA,NA,"C","N","DO","","CW","MB","",20050621,"6/21/2005","B18","20050621_B18",1,"DO"
"B","18",2005,6,21,"","",NA,0,"","",NA,NA,"O","N","DO","","CW","MB","",20050621,"6/21/2005","B18","20050621_B18",4,"DO"
"B","18",2003,7,23,"","",NA,0,"","",NA,NA,"C","N","DO","","JY","PM","",20030723,"7/23/2003","B18","20030723_B18",1,"DO"
"B","18",2003,7,23,"","",NA,0,"","",NA,NA,"O","N","DO","","JY","PM","",20030723,"7/23/2003","B18","20030723_B18",4,"DO"
"B","18",2005,8,8,"","",NA,0,"","",NA,NA,"C","N","CD","","CW","MB","",20050808,"8/8/2005","B18","20050808_B18",1,"CD"
"B","18",2005,8,8,"","",NA,0,"","",NA,NA,"O","N","CD","","CW","MB","",20050808,"8/8/2005","B18","20050808_B18",4,"CD"
"B","19",2005,2,28,"","",NA,0,"","",NA,NA,"C","N","DO","","JC","CN","",20050228,"2/28/2005","B19","20050228_B19",1,"DO"
"B","19",2005,2,28,"","",NA,0,"","",NA,NA,"M","N","DO","","JC","CN","",20050228,"2/28/2005","B19","20050228_B19",4,"DO"
"B","19",2013,6,17,"","",NA,NA,"","",NA,NA,"C","N","","WM","MJ","KG","",20130617,"6/17/2013","B19","20130617_B19",1,""
"B","19",2013,6,17,"","",NA,NA,"","",NA,NA,"O","N","WM","WM","MJ","KG","",20130617,"6/17/2013","B19","20130617_B19",4,""
"B","19",2001,9,4,"RR","",NA,1,"M","A",3,NA,"C","N","CD","","VS","AC","",20010904,"9/4/2001","B19","20010904_B19",1,"CD"
"B","19",2001,9,4,"","",NA,0,"","",NA,NA,"O","N","CD","","VS","AC","",20010904,"9/4/2001","B19","20010904_B19",4,"CD"
"B","2",2014,12,29,"","",NA,NA,"","",NA,NA,"C","N",NA,"CD&DRY DOG","HT","LH","",20141229,"12/29/2014","B2","20141229_B2",1,NA
"B","2",2014,12,20,"","",NA,NA,"","",NA,NA,"C","Y",NA,"MINNESOTA BOBCAT CHUNK","RK","LH","",20141229,"12/29/2014","B2","20141229_B2",1,NA
"B","2",2013,3,5,"","",NA,NA,"","",NA,NA,"C","Y","MINNESOTA BOBCAT CHUNK","LL","JM","MJ","",20130305,"3/5/2013","B2","20130305_B2",1,""
"B","2",2013,3,5,"","",NA,NA,"","",NA,NA,"C","N","LL","UNK","ZC","KG","",20130305,"3/5/2013","B2","20130305_B2",4,""
"B","20",2000,11,9,"","",NA,0,"","",NA,NA,"O","Y","CD","","VS","MJW","",20001109,"11/9/2000","B20","20001109_B20",1,"CD"
"B","20",2000,11,9,"","",NA,0,"","",NA,NA,"O","N","CD","","VS","MJW","",20001109,"11/9/2000","B20","20001109_B20",4,"CD"
"B","21",2012,1,12,"RR","",NA,1,"","",2,NA,"C","Y",NA,"CD","LH","DME","",20120112,"1/12/2012","B21","20120112_B21",1,""
"B","21",2012,1,12,"","",NA,NA,"","",NA,NA,"O","Y","CD","CD","LH","DME","",20120112,"1/12/2012","B21","20120112_B21",4,""
"B","21",2000,1,19,"","",NA,0,"","",NA,NA,"C","N","CD","","RT","TM","",20000119,"1/19/2000","B21","20000119_B21",1,"CD"
"B","21",2000,1,19,"","",NA,0,"","",NA,NA,"O","N","CD","","RT","TM","",20000119,"1/19/2000","B21","20000119_B21",4,"CD"
"B","21",2009,12,29,"","",NA,0,"","",NA,NA,"O","N","","DO","PF, ES","RK","",20091229,"12/29/2009","B21","20091229_B21",1,""
"B","21",2009,12,29,"","",NA,0,"","",NA,NA,"C","Y","DO","DO","PF,ES","DFD","",20091229,"12/29/2009","B21","20091229_B21",4,""
"B","22",2003,4,28,"","",NA,0,"","",NA,NA,"M","",NA,"","CS,PM","PM","DID NOT SEE",20030428,"4/28/2003","B22","20030428_B22",1,""
"B","22",2003,4,28,"","",NA,0,"","",NA,NA,"O","Y","IK","","CS,PM","PM","",20030428,"4/28/2003","B22","20030428_B22",4,"IK"
"B","22",2000,6,12,"","",NA,0,"","",NA,NA,"O","N","CD","","RT, DN","LS","",20000612,"6/12/2000","B22","20000612_B22",1,"CD"
"B","22",2000,6,12,"","",NA,0,"","",NA,NA,"M","","","","RT, DN","LS","",20000612,"6/12/2000","B22","20000612_B22",4,""
"B","23",2002,1,2,"","",NA,0,"","",NA,NA,"M","",NA,"","VS","CN","",20020102,"1/2/2002","B23","20020102_B23",1,""
"B","23",2002,1,2,"","",NA,0,"","",NA,NA,"O","N","CD","","VS","SR","",20020102,"1/2/2002","B23","20020102_B23",4,"CD"
"B","23",2003,3,10,"","",NA,0,"","",NA,NA,"M","N","CD","","BH","ZM","",20030310,"3/10/2003","B23","20030310_B23",1,"CD"
"B","23",2003,3,10,"","",NA,0,"","",NA,NA,"O","N","CD","","BH","ZM","",20030310,"3/10/2003","B23","20030310_B23",4,"CD"
"B","23",2000,8,28,"","",NA,0,"","",NA,NA,"M","","CD","","MS","JC","",20000828,"8/28/2000","B23","20000828_B23",1,"CD"
"B","23",2000,8,28,"","",NA,0,"","",NA,NA,"O","N","CD","","MS","JC","",20000828,"8/28/2000","B23","20000828_B23",4,"CD"
"B","24",2011,6,27,"RR","",NA,1,"M","Adult",2,NA,"C","N",NA,"DO","JY/JM","DME","",20110627,"6/27/2011","B24","20110627_B24",1,""
"B","24",2011,6,27,"","",NA,NA,"","",NA,NA,"O","N","DO","DO","JY/JM","DME","",20110627,"6/27/2011","B24","20110627_B24",4,""
"B","25",2008,12,15,"","",NA,0,"","",NA,NA,"C","N",NA,"CD","IE,PF,ELC","DFD","",20081215,"12/15/2008","B25","20081215_B25",1,""
"B","25",2008,12,15,"","",NA,0,"","",NA,NA,"O","N","CD","CD","IE,PF,ELC","DFD","",20081215,"12/15/2008","B25","20081215_B25",4,""
